"V1","V2"
-1.22790276973009,0.343940297006158
0.0416174809648826,0.442768286831431
-4.32390512664324e-06,1.91528662412312e-05
1.04787582442332e-05,1.30483962878949e-05
3.31047392310374e-05,8.77753530216212e-07
-4.63007418570107e-05,-5.88751706626097e-06
-1.35688407963436e-05,-2.71499367777798e-06
6.09464182902768e-05,2.24955758327497e-05
6.93645757174366e-06,-9.36414450141559e-06
-1.19950704119816e-05,4.17823398758659e-06
-5.32457095646633e-06,-2.19370874028736e-06
-4.52497870615735e-05,-1.34823517156568e-05
3.24199928403854e-05,-9.2580825302868e-07
7.98993018360617e-06,2.49652591500635e-06
-2.93965404292469e-06,-3.77174639474411e-06
-2.17526039873351e-05,-9.44759060263201e-06
3.08550674825033e-05,7.57097305672277e-06
-2.77694975986413e-05,-1.35484617777233e-06
-3.03614275021301e-05,-5.11199506236432e-05
-6.58640792216218e-06,-8.5931854043975e-06
-3.16968586621426e-05,-8.61713785234208e-06
1.48614966396652e-05,-2.95313843143937e-05
-5.52146327276524e-07,3.40527344666849e-06
3.62037432798946e-05,0.0773968475023614
-4.11679091810761e-05,1.90619108948893e-06
1.07092787582425e-06,-3.96009658374749e-05
2.38183325055128e-05,-1.06331434758973e-05
5.91267962758275e-06,2.52425580851102e-06
3.79078291344148e-05,2.79122488535341e-05
3.64093865968475e-06,9.41697931896652e-06
1.64488115942563e-05,0.208892514607237
1.11937190147805e-05,2.72983745374578e-06
-5.16247847876463e-05,1.60695116677989e-05
-1.25568243456921e-05,-1.54952769440937e-06
-2.42585236967383e-05,1.0024159080768e-06
-6.73529802145226e-05,-4.65397456601071e-06
5.01641153866689e-06,1.30514081014675e-05
5.01339534171386e-05,1.39056392123911e-06
3.75726954136519e-05,2.72553474777821e-05
-6.74574711784177e-05,-0.100759762578457
2.23369304505157e-05,1.43041071561471e-06
-6.7901919367305e-05,-0.0129740656304025
6.76060056300994e-06,6.87805317370665e-07
-0.00011810740357182,-0.0475591700459748
-5.81243848770812e-07,3.59901356100527e-06
-3.248785912746e-05,-0.00016973085472245
2.18841032643204e-05,-7.23611650327305e-06
4.97786533162485e-05,9.59768065641568e-07
-2.31066096644944e-05,-1.76270793441577e-07
3.38952400183465e-05,8.53423010703011e-06
-1.13365545140255e-05,8.1513108027644e-06
-4.27391435130007e-05,-2.12446971738748e-07
-3.45022099641264e-05,-4.42916019525991e-05
-1.17111057769281e-06,-6.1953306361856e-06
2.13371296360806e-07,-1.6145609388679e-06
2.28943992656059e-05,-3.03242552084034e-05
-8.40541062150303e-07,-1.82531211738857e-05
-3.68204813895701e-05,8.34965189749263e-07
-3.58925163913696e-05,-6.22923316684343e-06
6.96198439603485e-05,-4.57264045290095e-06
1.17989743986733e-05,4.65765002237118e-05
-1.52310828850249e-05,-5.69729119467149e-06
-2.89603482059158e-05,-0.0543895508137325
-1.03270859149734e-05,-5.54796638176977e-06
1.68978385159763e-05,2.50119750836265e-05
1.71610090044353e-05,1.40383774139654e-05
-4.41631651343869e-05,-4.64991547871874e-05
-2.66236560003284e-06,-2.27110976350205e-06
-2.54605703692223e-05,-3.02452575220644e-06
3.56151845898469e-07,2.53679733566348e-07
4.26092885803032e-05,0.0334789866574014
1.59172925570439e-05,9.30431779346505e-06
-1.70997425444409e-05,-4.75141814222646e-06
1.48737868127694e-05,0.00553187946025837
7.10759694939047e-06,2.05847482695697e-05
2.14265795416989e-05,4.00173752989326e-06
-1.25990594558737e-06,1.69561058683569e-06
-3.66822551223048e-05,-1.26871605937611e-05
-8.62683295684412e-06,-0.0262884965892849
-2.94572676286616e-05,-1.31813965762636e-06
4.54398689235286e-06,-1.71273277832863e-06
1.32559426686034e-05,-3.65172837622516e-06
-7.7865651854208e-06,2.37200599704305e-07
-1.24018931919678e-05,-2.23161585149975e-05
1.77560073624977e-05,2.95425240005526e-05
-5.38195026940288e-05,-6.66683648402903e-06
-3.78836914944367e-05,-7.74779746569678e-06
-1.78730995574387e-05,-2.94359634458866e-05
-4.08626705556061e-05,-3.77651788457033e-05
2.6277417314516e-05,5.42905425808354e-06
-3.74856458146139e-05,5.97284434798681e-07
-7.69454900089435e-07,-4.68055575773716e-06
2.01653056990658e-05,-7.22442654200577e-06
4.8613616441782e-05,2.77349440309244e-06
4.76031966133668e-05,-1.91501446416982e-06
5.84426819994343e-05,-2.36738051997363e-06
-4.96794616108978e-05,-0.0756885545358865
1.15457382964962e-06,-6.67389412062463e-06
3.95823580636029e-05,0.0751778090989
6.22314663580265e-05,0.0792496445887109
-7.38993980303481e-06,1.46655617143645e-06
4.98678346513472e-06,2.41891155843613e-05
-4.54114779011426e-05,-1.54553639687385e-06
-6.97637219181996e-05,-1.21932731530968e-05
8.91030467037269e-05,1.29643134441123e-06
-6.55191966723317e-05,-1.60797292720408e-06
-5.9321555310774e-06,-2.88804313501341e-06
1.97357679918674e-05,2.24184410873663e-07
7.64401632097288e-06,5.30929275592548e-05
4.01920440431106e-05,6.14069651403013e-06
6.09085575858975e-05,4.27554703000956e-06
-4.34696513029182e-05,2.39218937664231e-06
1.57230231738323e-05,7.07907193266954e-08
5.27488935000757e-05,0.000179536225568075
5.41577056641219e-05,-2.90300913614872e-06
1.77047022283444e-05,1.1293877289535e-07
4.60201015768127e-06,-5.86108494915788e-06
-3.12631374286699e-05,1.1170136770605e-07
2.75886178569483e-05,-1.33148448603911e-06
-3.78575051074908e-05,-8.26953752992077e-06
-1.41125956187341e-05,-3.73999801187825e-06
9.52094990672395e-05,1.57668731507474e-05
4.24803785718239e-05,1.31090274364243e-05
-2.95755311200096e-05,1.14508982722914e-05
-4.49253918843969e-05,-0.0232849018999278
-5.88109818786463e-05,-7.34357117211466e-06
1.98598166753834e-05,-1.17972266940072e-05
-4.365171200587e-05,-1.74671407403675e-05
3.57123841899493e-06,-4.75954834131047e-06
2.31117138103852e-06,-7.508229233834e-06
2.00219947287299e-05,9.50144299980214e-07
-6.15173114090165e-06,-5.70796903074357e-07
3.3846604627234e-05,-1.20813713649622e-05
-1.15396112585524e-05,7.25460167959096e-07
-5.14067736013147e-05,-1.51003574576263e-07
5.99879000759533e-05,-2.76919604899725e-06
-6.6498711057567e-05,1.38455032710168e-06
-6.33059703877073e-05,-6.29492869687604e-06
-1.77618456395608e-05,-2.54642904547317e-05
-3.28536153290445e-06,-1.14928571404683e-06
3.35559917844802e-05,1.43766962738824e-05
5.54927650270259e-05,0.240052574059533
-4.19727319810464e-06,-7.56692682134493e-06
-3.11523460526352e-05,-2.39416860041509e-05
-1.91141779684789e-05,-6.61305784985285e-06
-3.34591002238223e-05,-0.000174773381567517
-6.21064742472672e-05,-1.07673136826703e-06
-1.27604545133174e-05,-5.24297813169893e-06
1.35836042243119e-05,2.57926910798506e-06
4.49708611341867e-05,6.14662445982718e-07
-1.99299503459561e-05,-4.11251736916512e-06
-4.42770500731266e-05,-0.000147799523565653
-2.09766121417089e-05,3.87697946678237e-06
-2.27684943416504e-05,-8.78704824963239e-06
-1.71687037984011e-05,-3.91274673795001e-07
2.07767024300706e-05,3.52276710484134e-05
-7.63281732433381e-06,7.25848187562892e-06
-4.1747929379219e-05,-3.87629725230332e-06
-3.69151155385407e-05,-2.38393111344411e-06
-3.58576232006196e-05,9.49668064084363e-07
6.88483581670736e-05,7.46913623782507e-06
-6.91483669098055e-05,-0.0277888874560634
-1.57000413810697e-05,-1.41808839876884e-06
-8.27357407034796e-06,5.62450108552497e-06
-6.31376325401694e-05,8.26244777751452e-07
-5.22547334408101e-05,-3.90446182520951e-05
-6.32643928102831e-07,-3.44591138648101e-06
1.04836323250329e-05,-4.2494414877279e-06
-5.67820080216948e-05,-4.37332795211546e-05
-3.83525268079843e-05,-4.4085110748161e-05
-5.95283468608443e-05,-0.118364552914233
-2.87250480129758e-05,-2.33618796605561e-06
-2.41954797715952e-05,8.28191177530571e-06
-1.81125635148955e-05,-3.43721800174438e-06
-2.786658611417e-05,-6.0438341533663e-06
-1.41778564934146e-05,-1.02357531276378e-05
-6.81274595027648e-06,1.8241579856854e-06
-2.49633820414577e-05,2.02580826886769e-06
2.14154925703702e-05,-1.15872107611843e-06
6.29285345398703e-05,0.18957506193817
-5.00789813204938e-05,-0.0404185901951977
7.63205185949643e-06,-4.20135204031788e-06
-1.14133035270849e-05,-2.84821357056253e-06
4.70419748128814e-06,3.06434337560835e-05
-8.34437482724347e-06,-5.89307772338306e-06
-3.04026934834432e-05,-5.30540443168054e-05
-5.51311779615568e-06,-2.11097714997314e-05
-5.12425108233957e-06,7.97917556538008e-07
1.09234036928962e-05,1.16527871771304e-05
6.20301198590334e-05,0.000174480523262593
5.26639992656367e-05,3.14009841349133e-05
-6.57819424543755e-06,1.34895829691643e-05
-4.6220937273048e-05,7.80581359862126e-07
-3.04299597952969e-05,1.07781863845114e-05
-2.39289249342466e-05,-0.000298080543242255
1.67181921629368e-05,-3.26929127957481e-06
-1.94441918943528e-05,4.55575123662406e-07
-2.51207379804439e-06,7.63485252312941e-06
-1.46710693455611e-05,-1.65076658866553e-05
1.92957496039769e-05,-3.01816890633731e-07
4.52017486074028e-05,0.113336377563828
2.86967865376621e-05,-7.5909108891159e-06
1.65680575929209e-05,5.2900777053958e-06
-2.93010113673641e-05,1.23175506257011e-05
1.79313319930055e-05,0.0535459354360616
-2.01721553576455e-05,7.12725930375177e-07
2.12850316534478e-05,1.48750585157304e-05
7.26501447698849e-05,4.58828711524234e-06
-3.18253484078027e-05,1.09000051265429e-06
-2.85436205590435e-05,7.36483687778745e-07
3.3233254788013e-05,2.78431464606197e-05
3.50616444162047e-06,1.58312611980623e-06
-3.16877806847722e-05,-1.365718230615e-05
-1.38632815365206e-05,-1.07885736393606e-06
2.09284687231364e-05,-3.13449236287669e-06
-7.24048026559712e-05,-0.111917313916246
4.04320709133998e-06,-3.86923195307567e-06
-2.98499075005814e-05,-1.61218118256434e-06
-4.44248057310539e-05,-0.17644833730511
-4.13719159173236e-05,-2.80123423961765e-05
-3.24712177302989e-06,-6.74043216809092e-07
-2.3005293865293e-05,1.90643991040842e-06
-5.07515164667285e-05,-0.10010020744014
2.60227456651535e-05,1.71148320143981e-06
-1.75429796115047e-05,-6.75562215978096e-07
-1.72487514690042e-05,-5.48517498849987e-05
-1.34718977095946e-05,6.54934289058078e-06
-1.54956976876261e-05,-0.00574368459905668
-5.10896705023557e-05,-2.16573234970911e-05
-3.41317255834851e-05,-0.120456230008609
4.217147200765e-06,1.03930193133423e-05
-1.6479159116493e-06,3.92263509492899e-06
-4.694592534399e-05,-1.36546903647571e-05
1.90195153085858e-05,1.65971510391418e-06
